I-ONE Agent,AI 员工
I-ONE AI Task,AI 工作单
I-ONE AI Run Log,AI 运行日志
Iframe,内嵌框架
"If enabled, only System Managers can upload public files. Other users can't see the checkbox <i>Is Private</i> in the upload dialog.",启用后，只有系统管理员可以上传公共文件。其他用户在上传对话框中看不到 <i>设为私有</i> 复选框。
Logo URI,标志 URI
Logo URL,标志 URL
logo,标志
Slack Webhook URL,Slack Webhook 地址
TOS URI,服务条款 URI
Webhook URL,Webhook 地址
{0} of {1},第 {0} 项，共 {1} 项
{0} m,{0} 分钟
{0} h,{0} 小时
{0} d,{0} 天
{0} w,{0} 周
{0} M,{0} 个月
{0} y,{0} 年
{0} minutes ago,{0} 分钟前
{0} hours ago,{0} 小时前
{0} days ago,{0} 天前
{0} weeks ago,{0} 周前
{0} months ago,{0} 个月前
{0} years ago,{0} 年前
1 minute ago,1 分钟前
1 hour ago,1 小时前
1 week ago,1 周前
1 month ago,1 个月前
1 year ago,1 年前
yesterday,昨天
now,现在
List View,列表视图
Filter,筛选
Create,新建
First Name,名字
Import,导入
Customize Quick Filters,自定义快速筛选
New {0},新建{0}
Not Saved,未保存
Templates,模板
Save,保存
Details,基本信息
Address,地址
Customer Details,客户信息
Exit,离校
Naming Series,编号规则
Middle Name,中间名
Last Name,姓氏
Personal Details,个人信息
Address Line 1,地址第一行
Address Line 2,地址第二行
City,城市
Country,国家
No.,序号
Full Name,姓名
Customer Group,客户组
Begin typing for results.,输入内容以搜索。
Batch,批次
Activity,活动
Instructors,教师
Schedule Date,安排日期
From Time,开始时间
To Time,结束时间
Based On,依据
Assessment Name,考核名称
Schedule,日程安排
Title,标题
Route,路由
Publish on website,发布到网站
Introduction,简介
Courses,课程
Course Name,课程名称
Table,表格
blue,蓝色
green,绿色
red,红色
orange,橙色
yellow,黄色
teal,青绿色
violet,紫罗兰色
cyan,青色
amber,琥珀色
pink,粉色
purple,紫色
Interests,可提供的资源与参与意向,Guardian
Interest,资源、特长或参与意向,Guardian Interest
Year Start Date,学年开始日期
Year End Date,学年结束日期
Name,名称
Content Type,内容类型
Content,内容
Description,说明
Employee,员工
Monday,星期一
Tuesday,星期二
Wednesday,星期三
Thursday,星期四
Friday,星期五
Saturday,星期六
Sunday,星期日
All Assessment Groups,全部考核组
Actions,操作
Assign To,分配给
Clear Assignment,清除分配
Delete,删除
Message,消息
Please set a default Holiday List for Company {0},请为公司 {0} 设置默认节假日列表
Docstatus,文档状态
Assign,分配
Attachments,附件
Share,分享
Comments,评论
New Email,新建邮件
Attach,上传
Type,类型,Student Log
Log,日志内容,Student Log
Result,考核结果,Assessment Result
Summary,考核汇总,Assessment Result
Comment,评语,Assessment Result
Score,得分,Assessment Result Detail
Grade,等级,Assessment Result Detail
Amount,金额,Fee Component
Total,合计,Fee Component
Accounts,会计信息,Fee Structure
Receivable Account,应收账款科目,Fee Structure
Accounting Dimensions,会计维度,Fee Structure
Cost Center,成本中心,Fee Structure
Default Income Account,默认收入科目,Fee Category Default
Default Cost Center,默认成本中心,Fee Category Default
Customer,客户,Sales Invoice
Customer Name,客户名称,Sales Invoice
Posting Date,记账日期,Sales Invoice
Posting Time,记账时间,Sales Invoice
Series,编号规则,Sales Invoice
Include Payment (POS),包含付款（POS）,Sales Invoice
Is Return (Credit Note),退货（贷项通知单）,Sales Invoice
Is Rate Adjustment Entry (Debit Note),价格调整分录（借项通知单）,Sales Invoice
Edit Posting Date and Time,编辑记账日期和时间,Sales Invoice
Payment Due Date,付款到期日,Sales Invoice
Student Info,学生信息,Sales Invoice
Address & Contact,地址与联系人,Sales Invoice
Items,物料明细,Sales Invoice
Scan Barcode,扫描条码,Sales Invoice
Update Stock,更新库存,Sales Invoice
Taxes and Charges,税费,Sales Invoice
Shipping Rule,发运规则,Sales Invoice
Incoterm,国际贸易术语,Sales Invoice
Sales Taxes and Charges Template,销售税费模板,Sales Invoice
Advance Payments,预付款,Sales Invoice
Allocate Advances Automatically (FIFO),自动分配预付款（先进先出）,Sales Invoice
Get Advances Received,获取已收预付款,Sales Invoice
Advances,预付款明细,Sales Invoice
Billing Address,账单地址,Sales Invoice
Customer Address,客户地址,Sales Invoice
Contact Person,联系人,Sales Invoice
Territory,地区,Sales Invoice
Shipping Address Name,收货地址,Sales Invoice
Dispatch Address Name,发货地址,Sales Invoice
Company Address,公司地址,Sales Invoice
Company Address Name,公司地址,Sales Invoice
Company Contact Person,公司联系人,Sales Invoice
Payment Terms,付款条款,Sales Invoice
Payment Terms Template,付款条款模板,Sales Invoice
Payment Schedule,付款计划,Sales Invoice
Terms,条款,Sales Invoice
Terms and Conditions Details,条款及条件详情,Sales Invoice
Customer PO Details,客户采购订单信息,Sales Invoice
Customer's Purchase Order,客户采购订单,Sales Invoice
Customer's Purchase Order Date,客户采购订单日期,Sales Invoice
Accounting Details,会计信息,Sales Invoice
Debit To,应收账款科目,Sales Invoice
Commission,佣金,Sales Invoice
Sales Partner,销售合作伙伴,Sales Invoice
Sales Team,销售团队,Sales Invoice
Sales Contributions and Incentives,销售贡献与激励,Sales Invoice
Group same items,合并相同物料,Sales Invoice
Sales Taxes and Charges,销售税费,Sales Invoice
Total Taxes and Charges (Company Currency),税费合计（公司币种）,Sales Invoice
Total Taxes and Charges,税费合计,Sales Invoice
Use Company default Cost Center for Round off,舍入调整使用公司默认成本中心,Sales Invoice
Grand Total,总计,Sales Invoice
Rounding Adjustment,舍入调整,Sales Invoice
Rounded Total,舍入后总计,Sales Invoice
Total Advance,预付款合计,Sales Invoice
Time Sheet List,工时单列表,Sales Invoice
Time Sheets,工时单,Sales Invoice
Source,来源,Sales Invoice
Medium,媒介,Sales Invoice
Item,物料,Sales Invoice Item
Quantity,数量,Sales Invoice Item
Rate,单价,Sales Invoice Item
Amount,金额,Sales Invoice Item
Type,类型,Sales Taxes and Charges
Account Head,会计科目,Sales Taxes and Charges
Tax Rate,税率,Sales Taxes and Charges
Net Amount,净额,Sales Taxes and Charges
Amount,金额,Sales Taxes and Charges
Total,合计,Sales Taxes and Charges
Reference Name,参考单据,Sales Invoice Advance
Remarks,备注,Sales Invoice Advance
Advance amount,预付款金额,Sales Invoice Advance
Allocated amount,已分配金额,Sales Invoice Advance
Difference Posting Date,差额记账日期,Sales Invoice Advance
Activity Type,活动类型,Sales Invoice Timesheet
Billing Hours,计费工时,Sales Invoice Timesheet
Billing Amount,计费金额,Sales Invoice Timesheet
Time Sheet,工时单,Sales Invoice Timesheet
Due Date,到期日,Payment Schedule
Invoice Portion,发票比例,Payment Schedule
Payment Amount,付款金额,Payment Schedule
Sales Person,销售人员,Sales Team
Contribution (%),贡献比例（%）,Sales Team
Contribution to Net Total,对净额的贡献,Sales Team
Commission Rate,佣金率,Sales Team
Incentives,激励金额,Sales Team
Category,类别,Student Category
Batch Name,批次名称,Student Batch Name
Author,作者,Article
Publish Date,发布日期,Article
Publish Date,发布日期,Video
Duration,时长,Video
Question,题目,Quiz
Max Attempts,最大尝试次数,Quiz
Duration,时长,Quiz
Question,题目,Quiz Question
Application Status,申请状态,Student Applicant
Paid,已缴费,Student Applicant
Applied,已申请,Student Applicant
Approved,已批准,Student Applicant
Rejected,已拒绝,Student Applicant
Admitted,已录取,Student Applicant
Get Items From,获取项目来源
Download,下载
Upload,上传
Watch Video,观看视频
"Special Characters except '-', '#', '.', '/', '{{' and '}}' not allowed in naming series {0}",命名序列 {0} 中不允许使用除 '-'、'#'、'.'、'/'、'{{' 和 '}}' 以外的特殊字符
Home,主页
Invoicing,发票
Payments,收付款
Financial Reports,财务报表
ERPNext Settings,ERPNext 设置
Previous sessions,历史会话
New chat,新建会话
Full screen,全屏
Close (Ctrl+I),关闭 (Ctrl+I)
"Ask about your data, draft records, or run a task.",询问数据、起草单据或执行任务。
Ask Flow…,询问 Flow…
Attach file,附加文件
Accounting,会计
Selling,销售
Buying,采购
Stock,库存
Assets,资产
Manufacturing,制造
Projects,项目
Support,支持
Human Resources,人力资源
Payroll,薪资
Quality,质量
Subcontracting,委外
Flow Agent,Flow 执行智能体
Flow Session,Flow 会话
Flow Run,Flow 运行记录
Grouped by <span style='font-weight:600;'>{0}</b>,按 <span style='font-weight:600;'>{0}</b> 分组
%John%,%张三%
A lead sync source is already enabled for this Facebook Lead Form!,此 Facebook 线索表单已启用线索同步源！
A {0} cannot report to a {1},{0} 不能向 {1} 汇报
Accept Call,接听电话
Access Denied,访问被拒绝
Access token is required,需要访问令牌
Account Info & Security,账户信息与安全性
Activity Timeline,活动时间线
Add ({0}),添加 ({0})
Add Attendee,添加参会者
Add CRM Product,添加 CRM 产品
Add Chart,添加图表
Add Condition,添加条件
Add Condition Group,添加条件组
Add Description,添加描述
Add Description.,添加描述。
Add Email,添加邮箱
Add Location,添加地点
Add Mobile Number...,添加手机号码...
Add Note,添加备注
Add Notification,添加通知
Add Organization...,添加组织...
Add Sample Data,添加示例数据
Add Task,添加任务
Add User,添加用户
Add Users,添加用户
Add a Condition,添加条件
Add a Custom Condition,添加自定义条件
Add a Task,添加任务
Add a name for your source,为您的同步源添加名称
Add direct reports,添加直接下属
Add time targets around support milestones like first response,围绕支持里程碑（如首次响应）添加时间目标
"Add, edit, and manage sources for automatic lead syncing to your CRM",添加、编辑和管理用于自动同步线索至 CRM 的数据源
All Day Event Notifications,全天事件通知
All available priorities have already been added,所有可用的优先级均已添加
Another CRM,其他 CRM
Any failed lead syncs will show up here,任何失败的线索同步记录将在此显示
Appearance,外观
Are you sure you want to clear demo data? This action cannot be undone.,确定要清除演示数据吗？此操作无法撤销。
Are you sure you want to remove this tab and all its content?,确定要移除此选项卡及其所有内容吗？
Assign Condition is required,分配条件为必填项
Assign Conditions are invalid,分配条件无效
Assign To Me,分配给我
Assignment Cleared Successfully,分配已清除
Assignment Condition,分配条件
Assignment Days are required,必须选择分派日
Assignment Rule Created,分配规则已创建
Assignment Rule Deleted,分配规则已删除
Assignment Rule Duplicated,分配规则已复制
Assignment Rule Updated,分配规则已更新
Assignment Rule {0} Updated,分配规则 {0} 已更新
Assignment conditions,分配条件
"Assignment conditions are invalid or corrupt, recreate the conditions.",分配条件无效或已损坏，请重新创建条件。
At least one priority is required,至少需要一个优先级
"At least one valid Workday with Workday, Start Time, and End Time is required",至少需要一个包含工作日、开始时间和结束时间的有效工作日
Attach a File,附加文件
Attach file…,附加文件…
Attending status updated,出席状态已更新
Auto Create Customer,自动创建客户
Auto update Expected Deal Value,自动更新预期商机价值
Auto-assign leads/deals to the right sales user based on predefined conditions,根据预定义条件自动将线索/商机分配给合适的销售人员
Automatically sets Communication Status to “Open” for the lead or deal when a new communication is created. Applies only when SLA is enabled,创建新沟通时，自动将线索或商机的沟通状态设置为“待处理”。仅在启用 SLA 时生效
Automatically sets Communication Status to “Replied” for the lead or deal when a response is received. Applies only when SLA is enabled,收到回复时，自动将线索或商机的沟通状态设置为“已回复”。仅在启用 SLA 时生效
Avg Deal Value,平均商机价值
Avg Ongoing Deal Value,进行中商机平均价值
Avg Time to Close a Deal,关闭商机平均耗时
Avg Time to Close a Lead,关闭线索平均耗时
Avg Won Deal Value,赢单平均价值
Axis Chart,坐标轴图
Back to All Logs,返回所有日志
Back to File Upload,返回文件上传
Back to previous question,返回上一题
Background Sync Frequency,后台同步频率
Bidirectional sync of existing CRM Products and ERPNext Items. Runs in the background.,现有 CRM 产品与 ERPNext 物料之间的双向同步。在后台运行。
Blob ID,二进制对象 ID
Blobs,二进制对象
CRM Product Sync Issue,CRM 产品同步问题
CRM Rolling Response Time,CRM 滚动响应时间
CRM Sales Hierarchy,CRM 销售层级
CSV imports,CSV 导入
Calendar Settings,日历设置
Call log not found,未找到通话记录
Can't retry sync for this without source!,没有源无法重试此同步！
Cannot assign this role,无法分配此角色
Cannot delete: linked ERPNext Item {0} is referenced by a Quotation. Remove the reference or delete the Item in ERPNext first.,无法删除：链接的 ERPNext 物料 {0} 被报价单引用。请先移除引用或在 ERPNext 中删除该物料。
Cannot invite for this role,无法为此角色发送邀请
Cannot move a manager under one of their own reports,无法将经理移动至其下属之下
Cannot rename: an unrelated {0} '{1}' already exists on the other side. Resolve manually first.,无法重命名：另一端已存在无关的 {0} '{1}'。请先手动解决。
Capture my first lead,录入我的第一条线索
Capturing Leads,获取线索
Change Photo,更换照片
Change language of the application.,更改应用程序的语言。
Change timezone of the application.,更改应用程序的时区。
Change your account password for security.,更改账户密码以确保安全。
Choose how long this SLA policy will be active.,选择此 SLA 策略的生效时长。
Choose how you want to use the application by setting your preferences.,通过设置首选项来选择您希望如何使用应用程序。
Choose the Email Service Provider you want to configure.,选择您要配置的电子邮件服务提供商。
Choose which leads/deals are affected by this policy.,选择受此策略影响的线索/商机。
Clear All Filters,清除所有筛选条件
Close Panel,关闭面板
Close my first deal,关闭我的首个商机
Collaborating with my team,与我的团队协作
Comment sent,评论已发送
Company in ERPNext site,ERPNext 站点中的公司
Company name is required,公司名称为必填项
Configure,配置
Configure Telephony Settings for your CRM,为您的 CRM 配置电话设置
"Configure default settings for your CRM system, including default currency, date formats, and other system-wide preferences to ensure consistency across your system.",为您的 CRM 系统配置默认设置，包括默认货币、日期格式及其他系统级偏好，以确保系统的一致性。
Configure general settings for your application,配置应用程序的常规设置
"Configure how your dashboard calculates, formats, and displays key metrics, including forecasting, deal values, and currency settings",配置仪表板如何计算、格式化和显示关键指标，包括预测、商机价值和货币设置
Configure the Exchange Rate Provider for your CRM,为您的 CRM 配置汇率提供商
"Configure your Brand Name, Logo, and Favicon",配置您的品牌名称、徽标和网站图标
Configure your Calendar Settings like Default View and Event Notifications here,在此配置您的日历设置，如默认视图和事件通知
Configure your Exotel Telephony Integration Settings here,在此配置您的 Exotel 电话集成设置
Configure your Twilio Telephony Integration Settings here,在此配置您的 Twilio 电话集成设置
Confirm Overwrite,确认覆盖
Connect ERPNext to Frappe CRM,将 ERPNext 连接到 Frappe CRM
Connect your Email,连接您的电子邮件
Contact Added,联系人已添加
Contact Already Added,联系人已存在
Contact Image Updated,联系人图片已更新
Contact Removed,联系人已移除
Contact Updated,联系人已更新
Contact already exists with Email: {0},已存在电子邮件为 {0} 的联系人
"Controls how numbers are displayed (e.g., commas, decimal separators)",控制数字的显示方式（例如，逗号、小数点分隔符）
Converted Successfully,转换成功
Copied to Clipboard,已复制到剪贴板
"Could not create the Frappe CRM custom fields on {0} automatically. If it is running the latest ERPNext, enable <b>Frappe CRM Data Synchronization</b> in its CRM Settings, Otherwise check the Error Log.",无法在 {0} 上自动创建 Frappe CRM 自定义字段。如果它正在运行最新版本的 ERPNext，请在其 CRM 设置中启用 <b>Frappe CRM 数据同步</b>，否则请检查错误日志。
Could not remove.,无法移除。
Could not update report to,无法更新汇报关系
Create Event,创建活动
Create Lead from Incoming Emails,从传入邮件创建线索
Create New Holiday List,创建新假日列表
Create New Template,创建新模板
Create an Event,创建活动
Create customer in ERPNext when the deal status is changed,商机状态变更时在 ERPNext 中创建客户
Create products as Items in ERPNext,在 ERPNext 中将产品创建为物料
Create quotation button on deal page and auto customer creation on deal status change will be disabled. Are you sure?,将禁用商机页面的报价单按钮，并取消商机状态变更时自动创建客户的功能。确定吗？
Current Password,当前密码
Custom Actions,自定义操作
Custom Branding,自定义品牌
Custom Fields,自定义字段
Custom List Actions,自定义列表操作
Custom Statuses,自定义状态
Customization,自定义
Customer Created Successfully,客户创建成功
Dashboard Currency,仪表盘货币
